			Domain: SAT	Domain: Ketoacyl-synt-N	Domain: Ketoacyl-synt-C	Domain: Acyl-tranferase	Domain: PT-fungal-PKS	Domain: PP-binding	Domain: AllPKSDomains_presentAbsent	Domain: Hydroxynapthalene-reductase	Domain: Scytalone-dehydratase	Domain: Tyrosinase	Domain: 4HPPD
Species: Aphanobasidium-pseudotsugae	Phylum: Basidiomycota	Order: Agaricales	-34.67778070526608	-78.4948500216801	-35.431798275933005	-71.72124639904717	-65.31875876262441	-34.346787486224656	100	-73.69897000433602	0	-32.95860731484178	0
Species: Apiosordaria-backusii	Phylum: Ascomycota	Order: Sordariales	-80.48148606012211	-78.30980391997149	-41.20760831050175	-89.0087739243075	-115.85387196432177	-71.92081875395237	100	-136.85387196432177	-91.11918640771921	-51.795880017344075	-132.11350927482752
Species: Apiospora-montagnei	Phylum: Ascomycota	Order: Xylariales	-77.38721614328027	-88.55284196865779	-41.494850021680094	-89.0409586076789	-115.67778070526609	-78.39794000867204	100	-135.06048074738138	-92.7447274948967	-52.431798275933005	-128.85387196432177
Species: Aplosporella-prunicola	Phylum: Ascomycota	Order: Botryosphaeriales	-80.08618614761629	-82.431798275933	-39.38721614328026	-88.4948500216801	-116.11350927482752	-57.337242168318426	100	-136.52287874528034	-88.72124639904717	-53.408935392973504	-141.431798275933
Species: Apodospora-peruviana	Phylum: Ascomycota	Order: Sordariales	-79.06550154875643	-81.31875876262441	-40.036212172654444	-88.27572413039921	-118.95860731484177	-130.34678748622466	100	-138.03621217265444	-87.88605664769317	-55.420216403383186	-133.7447274948967
Species: Armillaria-borealis	Phylum: Basidiomycota	Order: Agaricales	-32.74472749489669	-77.95860731484177	-36.045757490560675	-70.34678748622466	-65.06048074738138	-46.055517327849834	100	-64.0	0	-52.18708664335715	0
Species: Armillaria-cepistipes	Phylum: Basidiomycota	Order: Agaricales	-33.20760831050175	-79.03151705144606	-36.055517327849834	-69.95860731484177	-68.4089353929735	-51.63827216398241	100	-69.52287874528034	0	-51.69897000433602	0
Species: Armillaria-ectypa	Phylum: Basidiomycota	Order: Agaricales	-32.85387196432176	-80.38721614328027	-36.85387196432176	-70.09691001300806	-68.08092190762393	-40.72124639904717	100	-72.2839966563652	0	-38.88605664769317	0
Species: Armillaria-gallica	Phylum: Basidiomycota	Order: Agaricales	-32.63827216398241	-79.3767507096021	-36.00436480540245	-70.18708664335715	-67.67778070526609	-50.44369749923271	100	-67.26760624017703	0	-50.63827216398241	0
Species: Armillaria-luteobubalina	Phylum: Basidiomycota	Order: Agaricales	-33.27572413039921	-77.95860731484177	-35.95860731484178	-69.95860731484177	-67.4202164033832	-50.11350927482752	100	-68.56863623584101	0	-51.769551078621724	0
Species: Armillaria-mellea	Phylum: Basidiomycota	Order: Agaricales	-30.82390874094432	-79.95860731484177	-38.096910013008056	-70.04575749056067	-66.76955107862173	-51.82390874094432	100	-67.11918640771921	0	-61.356547323513816	0
Species: Armillaria-nabsnona	Phylum: Basidiomycota	Order: Agaricales	-32.795880017344075	-80.05551732784983	-36.82390874094432	-70.24412514432751	-68.55284196865779	-51.494850021680094	100	-68.6382721639824	0	-52.82390874094432	0
Species: Armillaria-solidipes	Phylum: Basidiomycota	Order: Agaricales	-32.72124639904717	-79.52287874528034	-36.537602002101046	-70.27572413039921	-68.46852108295775	-51.455931955649724	100	-68.92081875395237	0	-52.136677139879545	0
Species: Armillaria-ostoyae	Phylum: Basidiomycota	Order: Agaricales	-32.67778070526608	-80.13667713987954	-36.74472749489669	-70.07572071393813	-68.39794000867204	-51.455931955649724	100	-67.95860731484177	0	-51.72124639904717	0
Species: Armillaria-tabescens	Phylum: Basidiomycota	Order: Agaricales	-33.3767507096021	-80.2839966563652	-36.420216403383186	-70.46852108295775	-67.53760200210104	-51.19382002601611	100	-60.55284196865778	0	-38.19382002601611	0
Species: Arthroderma-benhamiae	Phylum: Ascomycota	Order: Onygenales	-72.15490195998575	-86.67778070526609	-41.56863623584101	-93.3767507096021	-102.13076828026902	-73.7447274948967	100	0	0	-34.95860731484178	-136.85387196432177
Species: Artolenzites-elegans	Phylum: Basidiomycota	Order: Polyporales	-36.619788758288394	-78.88605664769317	-37.00436480540245	-71.05551732784983	-50.795880017344075	-31.11918640771921	0	-76.7447274948967	0	-53.44369749923271	0
Species: Artolenzites-elegans	Phylum: Basidiomycota	Order: Polyporales	-37.136677139879545	-78.53760200210104	-36.82390874094432	-71.39794000867204	-51.214670164989236	-32.44369749923271	0	-76.55284196865779	0	-55.585026652029185	0
Species: Arthroascus-fermentans	Phylum: Ascomycota	Order: Saccharomycetales	-34.585026652029185	-53.95860731484178	-33.236572006437065	-90.95860731484177	0	-11.958607314841775	0	0	0	0	-122.88605664769317
Species: Arthrobotrys-oligospora	Phylum: Ascomycota	Order: Orbiliales	-37.46852108295774	-81.0	-36.74472749489669	-89.92081875395237	0	-33.408935392973504	0	0	0	-50.56863623584101	-137.2839966563652
Species: Blastobotrys-(Arxula)	Phylum: Ascomycota	Order: Saccharomycetales	-35.74472749489669	-43.67778070526608	-34.85387196432176	-93.29242982390207	0	-12.468521082957745	0	0	0	0	-139.2441251443275
Species: Ascobolus-immersus	Phylum: Ascomycota	Order: Pezizales	-76.48148606012211	-80.04575749056067	-34.72124639904717	-88.46852108295775	-91.76955107862173	-73.72124639904717	100	-61.29242982390206	0	-47.95860731484178	-121.4948500216801
Species: Ascodesmis-nigricans	Phylum: Ascomycota	Order: Pezizales	-35.2518119729938	-59.11918640771921	-36.32790214206428	-91.31875876262441	0	-59.346787486224656	0	0	0	-54.60205999132796	-139.0
Species: Ascochyta-rabiei	Phylum: Ascomycota	Order: Pleosporales	-80.92081875395237	-80.06550154875643	-40.29242982390206	-88.7447274948967	-117.4948500216801	-42.56863623584101	100	-131.568636235841	-86.13667713987954	-55.0	-142.82390874094432
Species: Ascoidea-rubescens	Phylum: Ascomycota	Order: Saccharomycetales	-36.221848749616356	-57.236572006437065	-37.85387196432176	-91.72124639904717	0	-14.0	0	0	0	0	-118.29242982390207
Species: Ascocoryne-sarcoides	Phylum: Ascomycota	Order: Helotiales	-38.20065945054642	-71.58502665202919	-36.920818753952375	-88.92081875395237	0	-60.82390874094432	0	-126.85387196432177	0	-51.82390874094432	-135.88605664769315
Species: Eremothecium-gossypii	Phylum: Ascomycota	Order: Saccharomycetales	-39.36653154442041	-54.85387196432176	-33.180456064458134	-103.92081875395237	0	-11.853871964321762	0	0	0	0	0
Species: Aspergillus-aculeatus	Phylum: Ascomycota	Order: Eurotiales	-80.76955107862173	-80.92081875395237	-43.55284196865778	-90.0	-120.65757731917779	-76.45593195564973	100	-124.07058107428571	-74.85387196432177	-53.09151498112135	-141.1249387366083
Species: Aspergillus-acristatulus	Phylum: Ascomycota	Order: Eurotiales	-82.45593195564972	-87.92081875395237	-41.95860731484178	-107.72124639904717	-116.29242982390207	-95.92081875395237	100	-124.65757731917779	-38.769551078621724	-54.795880017344075	-139.92081875395237
Species: Aspergillus-aculeatinus	Phylum: Ascomycota	Order: Eurotiales	-67.09151498112135	-84.85387196432177	-40.356547323513816	-89.6197887582884	-120.92081875395237	-47.619788758288394	100	-123.48148606012211	-74.95860731484177	-53.05060999335509	-141.0
Species: Aspergillus-amylovorus	Phylum: Ascomycota	Order: Eurotiales	-78.46852108295775	-81.0409586076789	-39.20065945054642	-89.79588001734407	-117.69897000433602	-88.58502665202919	100	-124.07572071393813	0	-55.22914798835786	-137.85387196432177
Species: Aspergillus-bisporus	Phylum: Ascomycota	Order: Eurotiales	-81.7447274948967	-80.50863830616572	-41.29242982390206	-90.09691001300806	-117.67778070526609	-83.0	100	0	-32.56863623584101	-53.221848749616356	-141.4948500216801
Species: Aspergillus-bombycis	Phylum: Ascomycota	Order: Eurotiales	-85.88605664769317	-83.4948500216801	-40.3767507096021	-90.85387196432177	-122.0409586076789	-73.92081875395237	100	-121.92081875395237	-56.20760831050175	-53.055517327849834	-143.30102999566398
Species: Aspergillus-brasiliensis	Phylum: Ascomycota	Order: Eurotiales	-83.72124639904717	-85.95860731484177	-38.95860731484178	-89.82390874094432	-121.7447274948967	-59.10237290870956	100	-63.136677139879545	-20.67778070526608	-54.920818753952375	-138.52287874528034
Species: Aspergillus-brevijanus	Phylum: Ascomycota	Order: Eurotiales	-69.65757731917779	-80.25963731050575	-38.408935392973504	-89.21467016498923	-106.6382721639824	-45.24412514432751	100	-114.72124639904717	-80.67778070526609	-54.74472749489669	-139.4948500216801
Species: Aspergillus-brunneoviolaceus	Phylum: Ascomycota	Order: Eurotiales	-81.15490195998575	-81.48148606012211	-40.60205999132796	-90.07058107428571	-121.0087739243075	-48.56863623584101	100	-124.3767507096021	-74.79588001734407	-53.045757490560675	-140.7447274948967
Species: Aspergillus-carbonarius	Phylum: Ascomycota	Order: Eurotiales	-83.95860731484177	-81.39794000867204	-38.494850021680094	-89.19382002601611	-121.10237290870955	-93.13076828026902	100	-78.30102999566398	-29.638272163982407	-53.337242168318426	-140.7447274948967
Species: Aspergillus-calidoustus	Phylum: Ascomycota	Order: Eurotiales	-82.85387196432177	-81.88605664769317	-38.283996656365204	-90.6382721639824	-118.7447274948967	-71.16749108729377	100	-89.85387196432177	0	-54.055517327849834	-140.1191864077192
Species: Aspergillus-campestris	Phylum: Ascomycota	Order: Eurotiales	-39.02227639471115	-80.72124639904717	-38.16749108729376	-87.56863623584101	0	-85.45593195564973	0	0	-22.619788758288394	-54.38721614328026	-141.39794000867204
Species: Aspergillus-candidus	Phylum: Ascomycota	Order: Eurotiales	-38.769551078621724	-80.4202164033832	-41.85387196432176	-87.52287874528034	0	-61.29242982390206	0	0	-19.769551078621728	-53.769551078621724	-141.79588001734407
Species: Aspergillus-carlsbadensis	Phylum: Ascomycota	Order: Eurotiales	-80.58502665202919	-81.92081875395237	-38.05060999335509	-90.82390874094432	-119.79588001734407	-70.08092190762393	100	-79.50863830616572	-21.327902142064282	-53.356547323513816	-139.1079053973095
Species: Aspergillus-chevalieri	Phylum: Ascomycota	Order: Eurotiales	-83.85387196432177	-81.3767507096021	-40.6575773191778	-69.36653154442041	-116.33724216831843	-46.88605664769317	100	-121.56863623584101	-79.92081875395237	-50.26760624017703	-137.2518119729938
Species: Aspergillus-clavatus	Phylum: Ascomycota	Order: Eurotiales	-81.27572413039921	-80.24412514432751	-40.431798275933005	-89.85387196432177	-117.08092190762393	-71.27572413039921	100	-123.65757731917779	-88.03151705144606	-55.585026652029185	-141.21467016498923
Species: Aspergillus-costaricaensis	Phylum: Ascomycota	Order: Eurotiales	-85.04575749056067	-80.25963731050575	-41.52287874528034	-89.4948500216801	-119.85387196432177	-59.26760624017703	100	-63.0	-22.769551078621728	-54.06550154875643	-138.6197887582884
Species: Aspergillus-cristatus	Phylum: Ascomycota	Order: Eurotiales	-83.38721614328027	-81.44369749923271	-41.0	-89.88605664769317	-116.03151705144606	-47.19382002601611	100	-121.85387196432177	-78.58502665202919	-53.346787486224656	-137.2441251443275
Species: Aspergillus-desertorum	Phylum: Ascomycota	Order: Eurotiales	-48.06550154875643	-78.76955107862173	-40.221848749616356	-90.2839966563652	-107.35654732351381	-65.18045606445813	100	-77.02227639471116	-27.568636235841012	-51.95860731484178	-139.10237290870955
Species: Aspergillus-egyptiacus	Phylum: Ascomycota	Order: Eurotiales	-79.14874165128093	-81.0	-41.769551078621724	-104.46852108295775	-118.20760831050174	-73.33724216831843	100	-124.38721614328027	0	-54.0268721464003	-115.02687214640031
Species: Aspergillus-ellipticus	Phylum: Ascomycota	Order: Eurotiales	-69.7447274948967	-79.69897000433602	-37.795880017344075	-90.6382721639824	-119.6382721639824	-56.63827216398241	100	-77.60205999132796	0	-54.11918640771921	-140.92081875395237
Species: Aspergillus-eucalypticola	Phylum: Ascomycota	Order: Eurotiales	-85.67778070526609	-80.26760624017703	-41.52287874528034	-89.431798275933	-119.65757731917779	-48.619788758288394	100	-62.95860731484178	-27.853871964321762	-54.036212172654444	-138.20065945054642
Species: Aspergillus-fijiensis	Phylum: Ascomycota	Order: Eurotiales	-80.7447274948967	-81.48148606012211	-39.72124639904717	-90.0	-120.79588001734407	-74.11918640771921	100	-124.3767507096021	-74.82390874094432	-53.05060999335509	-141.18045606445813
Species: Aspergillus-filifera	Phylum: Ascomycota	Order: Eurotiales	-79.69897000433602	-82.04575749056067	-40.55284196865778	-90.10790539730952	-113.95860731484177	-69.92081875395237	100	-124.7447274948967	-68.92081875395237	-52.18708664335715	-139.6575773191778
Species: Aspergillus-flavus	Phylum: Ascomycota	Order: Eurotiales	-84.18708664335715	-84.79588001734407	-41.19382002601611	-90.92081875395237	-122.00436480540245	-61.161150909262744	100	-119.29242982390207	-23.602059991327963	-53.420216403383186	-144.46852108295775
Species: Aspergillus-luchuensis	Phylum: Ascomycota	Order: Eurotiales	-85.07572071393813	-82.65757731917779	-40.95860731484178	-89.20065945054642	-119.67778070526609	-57.82390874094432	100	-62.420216403383186	-22.920818753952375	-54.01322826573376	-138.4948500216801
Species: Aspergillus-fumigatus	Phylum: Ascomycota	Order: Eurotiales	-77.02227639471116	-80.29242982390207	-38.619788758288394	-90.52287874528034	-117.92081875395237	-93.58502665202919	100	-123.58502665202919	-95.92081875395237	-56.6575773191778	-141.7447274948967
Species: Aspergillus-fumigatus	Phylum: Ascomycota	Order: Eurotiales	-77.24412514432751	-80.2839966563652	-38.60205999132796	-90.52287874528034	-117.88605664769317	-92.95860731484177	100	-123.56863623584101	-95.92081875395237	-56.6575773191778	-141.72124639904717
Species: Aspergillus-funiculosus	Phylum: Ascomycota	Order: Eurotiales	-65.4202164033832	-82.14266750356873	-38.070581074285705	-91.09151498112135	-115.85387196432177	-49.88605664769317	100	-124.2518119729938	-66.60205999132796	-54.055517327849834	-139.92081875395237
Species: Aspergillus-glaucus	Phylum: Ascomycota	Order: Eurotiales	-82.85387196432177	-79.67778070526609	-40.60205999132796	-89.46852108295775	-114.65757731917779	-64.44369749923271	100	-121.18045606445813	-78.18708664335715	-48.920818753952375	-137.79588001734407
Species: Aspergillus-heteromorphus	Phylum: Ascomycota	Order: Eurotiales	-68.05060999335508	-80.39794000867204	-43.44369749923271	-89.95860731484177	-118.67778070526609	-61.88605664769317	100	-76.46852108295775	-13.537602002101044	-52.36653154442041	-141.69897000433602
Species: Aspergillus-homomorphus	Phylum: Ascomycota	Order: Eurotiales	-82.45593195564972	-80.18045606445813	-39.346787486224656	-89.4948500216801	-118.46852108295775	-65.6197887582884	100	-124.65757731917779	-72.13667713987954	-52.06550154875643	-140.58502665202917
Species: Aspergillus-ibericus	Phylum: Ascomycota	Order: Eurotiales	-83.85387196432177	-80.65757731917779	-39.52287874528034	-89.69897000433602	-120.22184874961636	-49.481486060122116	100	-78.85387196432177	0	-53.795880017344075	-141.1079053973095
Species: Aspergillus-indologenus	Phylum: Ascomycota	Order: Eurotiales	-82.25963731050575	-83.7447274948967	-40.74472749489669	-89.92081875395237	-120.52287874528034	-66.92081875395237	100	-118.0	-75.24412514432751	-53.045757490560675	-141.7447274948967
Species: Aspergillus-indicus	Phylum: Ascomycota	Order: Eurotiales	-81.29242982390207	-82.67778070526609	-41.283996656365204	-90.60205999132796	-116.85387196432177	-73.2839966563652	100	-122.44369749923271	-39.38721614328026	-55.3767507096021	-140.1191864077192
Species: Aspergillus-insolitus	Phylum: Ascomycota	Order: Eurotiales	-78.72124639904717	-81.79588001734407	-36.56863623584101	-69.26760624017703	-115.72124639904717	-55.180456064458134	100	-115.3767507096021	-80.82390874094432	-48.82390874094432	-139.39794000867204
Species: Aspergillus-japonicus	Phylum: Ascomycota	Order: Eurotiales	-81.17392519729917	-83.72124639904717	-39.39794000867204	-89.92081875395237	-120.82390874094432	-65.60205999132796	100	-124.16115090926274	-74.7447274948967	-53.05060999335509	-141.76955107862173
Species: Aspergillus-kawachii	Phylum: Ascomycota	Order: Eurotiales	-85.14874165128093	-82.39794000867204	-41.031517051446066	-89.27572413039921	-119.85387196432177	-57.769551078621724	100	-62.74472749489669	-18.26760624017703	-54.008773924307505	-138.568636235841
Species: Aspergillus-niger	Phylum: Ascomycota	Order: Eurotiales	-84.4948500216801	-86.58502665202919	-40.63827216398241	-89.4089353929735	-120.95860731484177	-62.29242982390206	100	-63.26760624017703	-23.1249387366083	-54.82390874094432	-138.76955107862173
Species: Aspergillus-minisclerotigenes	Phylum: Ascomycota	Order: Eurotiales	-85.4202164033832	-85.05551732784983	-41.07572071393812	-90.95860731484177	-122.55284196865779	-73.30102999566398	100	-123.16749108729377	-23.455931955649724	-53.69897000433602	-144.33724216831843
Species: Aspergillus-multicolor	Phylum: Ascomycota	Order: Eurotiales	-82.17392519729917	-82.08618614761629	-37.36653154442041	-93.48148606012211	-119.76955107862173	-71.72124639904717	100	-123.10790539730952	0	-55.63827216398241	-140.3187587626244
Species: Aspergillus-neoechinulatus	Phylum: Ascomycota	Order: Eurotiales	-80.6197887582884	-82.26760624017703	-42.00436480540245	-105.44369749923271	-114.58502665202919	-72.0	100	-123.95860731484177	-68.56863623584101	-55.221848749616356	-140.4948500216801
Species: Aspergillus-neoniger	Phylum: Ascomycota	Order: Eurotiales	-84.69897000433602	-79.92081875395237	-40.795880017344075	-89.4948500216801	-119.82390874094432	-48.63827216398241	100	-63.0	-23.214670164989233	-54.045757490560675	-138.6197887582884
